Gorgeous Boutique & Tailori..,+(91)-9912643090,4.0,12,"#10-2-257, Street No.5, West Marredpally, Hyderabad - 500026, Opp Secunderabad Nursing Home",
Annula Womens World Clothin..,08045792541,3.6,11,"101, Plot No 6 & 7, Annapurna Arcade, Main Road, AS Rao Nagar, Hyderabad - 500062, Beside Bar9, AS Rao Nagar Bus Stop",
Comfort Fit,07947230798,4.9,7,"Plot No 4, Kukatpally, Hyderabad - 500072",
New Zeal Clothiers & Tailor..,07947447542,3.9,10,"House No 3-5-1090/13, Narayanguda Main Road, Narayanguda, Hyderabad - 500029, Opposite YMCA Police Station, Pillar No 24",
Abhi Boutique,08045793383,4.7,12,"Plot No.4-111/1, Mettle Gym Bulding., Rampally X Road, Rampally X Road, Hyderabad - 500083, Near Rampally X Road, Mettle Gym Buliding",
Aanchal Boutique,+(91)-9849717681,3.9,7,"Shop No 6, Himayala Hotel, Red Hills, Hyderabad - 500004, Opposite Redhills Play Ground",
Kbr Designers,+(91)-9100135999,4.3,11,"Door No 6-1-344/16, Padmaraonagar Main Road, Padmarao Nagar, Hyderabad - 500025, Beside Enjoy Bakery",
Sreeman Mens Tailor,08045794431,4.6,5,"Shop No 1,Emerald House, S D Road, Secunderabad, Secunderabad - 500003, Beside Hotel Parklane",
Sree Lakshmi Boutique,+(91)-6302957826,3.4,8,"Shop No C4 Maruthi Complex, Nizampet Village, Hyderabad - 500090, Opposite Vijetha Super Market",
Flora Mens Tailors,+(91)-9949611837,4.8,4,"Door No 6-42, Main Road, Chanda Nagar, Hyderabad - 500050, Near Swagath Hotel",
Siri The Women Shop Tailori..,+(91)-9989222866,4.5,11,"Plot No 113, Shop No G-5 Adithi Residency Road No 5, KTR Colony Balaji Nagar, Nizampet Village, Hyderabad - 500090, Beside Tennis Court",
Eleghant Tailor,08045792126,4.0,5,"Ground Floor Eleghant Building, Kanchan Bagh, Santosh Nagar, Hyderabad - 500059, Near Drdl Gate",
Sreeman Mens Tailor,08045794431,4.6,5,"Shop No 1,Emerald House, S D Road, Secunderabad, Secunderabad - 500003, Beside Hotel Parklane",
Cotn Creations,+(91)-8309501225,5.0,3,"Satya Enclave, Swaroop  Nagar Road, Chiluka Nagar-Uppal, Hyderabad - 500039, Srinivasa  Heights",
Veda Fashion Designing Bout..,+(91)-9059041499,4.8,15,"Plot No 1 Yashodha Complex, Vivekananda Nagar, Kukatpally, Hyderabad - 500072",
Gorgeous Boutique & Tailori..,+(91)-9912643090,4.0,12,"#10-2-257, Street No.5, West Marredpally, Hyderabad - 500026, Opp Secunderabad Nursing Home",
Sree Lakshmi Boutique,+(91)-6302957826,3.4,8,"Shop No C4 Maruthi Complex, Nizampet Village, Hyderabad - 500090, Opposite Vijetha Super Market",
New Zeal Clothiers & Tailor..,07947447542,3.9,10,"House No 3-5-1090/13, Narayanguda Main Road, Narayanguda, Hyderabad - 500029, Opposite YMCA Police Station, Pillar No 24",
Filmy Fashions,+(91)-8008396125,3.3,3,"Road No 7, Jubilee Hills, Hyderabad - 500033",
Yeomen Stitchers,+(91)-40-23406563,4.0,15,"Shop No 4, Kantishikara Complex, Yashoda Hospital Lane, Punjagutta, Hyderabad - 500082, Near Hanuman Temple",
Sree Lakshmi Boutique,+(91)-6302957826,3.4,8,"Shop No C4 Maruthi Complex, Nizampet Village, Hyderabad - 500090, Opposite Vijetha Super Market",
Kishor Fashion Tailoring Cl..,07947069701,4.5,1,"H No 1-80, GHMC Ward LIne, Bharat Nagar, Hyderabad - 500018, Gandhi Statue",
